price,lprice,square,rooms,floor,mfloor,station,metro,ametro,dmetro,link,add,lat,lon,district
24898700,17.030326151236665,92.0,4,3,14,метро Аннино,19 минут пешком,1,19,https://www.cian.ru/sale/flat/315871816/,"Старобитцевская ул., 15К3",55.575414,37.583239,район Северное Бутово
14500000,16.489659207390805,52.7,2,4,16,метро Аннино,8 минут пешком,1,8,https://www.cian.ru/sale/flat/315352355/,"Варшавское ш., 147К2",55.579124,37.598771,район Чертаново Южное
25990000,17.073222406617674,72.7,3,15,16,метро Аннино,6 минут пешком,1,6,https://www.cian.ru/sale/flat/313290252/,"Варшавское ш., 154К2",55.587453,37.597163,район Чертаново Южное
12400000,16.333207030575267,38.7,1,12,12,метро Аннино,19 минут пешком,1,19,https://www.cian.ru/sale/flat/309034082/,"Россошанский проезд, 8К1",55.597108,37.604879,район Чертаново Южное
10550000,16.17163641788635,45.0,2,1,9,метро Аннино,20 минут пешком,1,20,https://www.cian.ru/sale/flat/313323753/,"Россошанская ул., 2К1",55.594016,37.607898,район Чертаново Южное
13800000,16.440179150127435,42.6,1,3,26,метро Аннино,12 минут пешком,1,12,https://www.cian.ru/sale/flat/308646666/,"Варшавское ш., 170Ек4",55.581307,37.582457,район Чертаново Южное
23200000,16.95966283663654,55.3,2,15,22,метро Аннино,12 минут пешком,1,12,https://www.cian.ru/sale/flat/316236224/,"Варшавское ш., 170Ек4",55.581307,37.582457,район Чертаново Южное
30000000,17.216707939626428,96.8,4,22,26,метро Аннино,12 минут пешком,1,12,https://www.cian.ru/sale/flat/315796614/,"Варшавское ш., 170Ек4",55.581307,37.582457,район Чертаново Южное
36900000,17.423722109010754,135.9,4,4,9,метро Аннино,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/283008581/,"Старокачаловская ул., 16",55.570075,37.587883,район Северное Бутово
17800000,16.694709015262312,57.0,2,26,26,метро Аннино,17 минут пешком,1,17,https://www.cian.ru/sale/flat/312208358/,"Варшавское ш., 170Ек11",55.582416,37.57881,район Чертаново Южное
13500000,16.41820024340866,34.7,1,11,26,метро Аннино,17 минут пешком,1,17,https://www.cian.ru/sale/flat/314138813/,"Варшавское ш., 170Ек11",55.582416,37.57881,район Чертаново Южное
13500000,16.41820024340866,34.7,1,11,26,метро Аннино,17 минут пешком,1,17,https://www.cian.ru/sale/flat/315202405/,"Варшавское ш., 170Ек11",55.582416,37.57881,район Чертаново Южное
21980000,16.90564350693975,73.0,3,16,16,метро Аннино,6 минут пешком,1,6,https://www.cian.ru/sale/flat/315603619/,"Варшавское ш., 145К2",55.580065,37.598169,район Чертаново Южное
18500000,16.733281290048552,74.4,3,13,16,метро Аннино,6 минут пешком,1,6,https://www.cian.ru/sale/flat/316301261/,"Варшавское ш., 145К2",55.580065,37.598169,район Чертаново Южное
12500000,16.34123920227253,34.0,1,10,25,метро Аннино,9 минут пешком,1,9,https://www.cian.ru/sale/flat/314179061/,"Варшавское ш., 141к8",55.589346,37.601277,район Чертаново Южное
15650000,16.565981474950437,46.7,1,13,25,метро Улица Академика Янгеля,8 минут пешком,1,8,https://www.cian.ru/sale/flat/282768480/,"Варшавское ш., 141к8",55.589346,37.601277,район Чертаново Южное
19950000,16.808739701300148,55.7,2,17,25,метро Аннино,6 минут пешком,1,6,https://www.cian.ru/sale/flat/315006892/,"Варшавское ш., 141Ак3",55.58465,37.603496,район Чертаново Южное
12350000,16.32916662103826,41.7,2,1,12,метро Аннино,6 минут на транспорте,0,6,https://www.cian.ru/sale/flat/306149140/,"Россошанская ул., 13К1",55.59632,37.614509,район Чертаново Южное
13500000,16.41820024340866,61.0,3,8,12,метро Улица Академика Янгеля,13 минут пешком,1,13,https://www.cian.ru/sale/flat/315612324/,"Россошанская ул., 13К1",55.59632,37.614509,район Чертаново Южное
11500000,16.25785759333348,40.7,2,1,12,метро Улица Академика Янгеля,13 минут пешком,1,13,https://www.cian.ru/sale/flat/313413632/,"Россошанская ул., 13К1",55.59632,37.614509,район Чертаново Южное
12500000,16.34123920227253,45.0,2,5,12,метро Аннино,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/314220659/,"ул. Академика Янгеля, 8",55.597409,37.590174,район Чертаново Южное
13400000,16.41076526492114,39.4,1,14,19,метро Аннино,16 минут пешком,1,16,https://www.cian.ru/sale/flat/314551095/,"Варшавское ш., 170Ек10",55.581983,37.579035,район Чертаново Южное
22000000,16.90655301132259,74.2,3,7,16,метро Аннино,8 минут пешком,1,8,https://www.cian.ru/sale/flat/313880146/,"Варшавское ш., 149к1",55.578727,37.599229,район Чертаново Южное
35900000,17.396247853458508,92.0,3,17,21,метро Аннино,15 минут пешком,1,15,https://www.cian.ru/sale/flat/314968772/,"ул. Академика Янгеля, 1к1",55.594056,37.598115,район Чертаново Южное
35900000,17.396247853458508,89.4,3,17,21,метро Аннино,15 минут пешком,1,15,https://www.cian.ru/sale/flat/316641692/,"ул. Академика Янгеля, 1к1",55.594056,37.598115,район Чертаново Южное
35900000,17.396247853458508,92.0,3,17,21,метро Улица Академика Янгеля,3 минуты пешком,1,3,https://www.cian.ru/sale/flat/316628577/,"ул. Академика Янгеля, 1к1",55.594056,37.598115,район Чертаново Южное
18000000,16.70588231586044,52.0,1,8,21,метро Улица Академика Янгеля,3 минуты пешком,1,3,https://www.cian.ru/sale/flat/314434060/,"ул. Академика Янгеля, 1к1",55.594056,37.598115,район Чертаново Южное
15290000,16.542709577905246,42.3,1,13,16,метро Аннино,9 минут пешком,1,9,https://www.cian.ru/sale/flat/308859725/,"Варшавское ш., 152к11",55.590144,37.597297,район Чертаново Южное
10490000,16.16593298037248,36.6,1,1,12,метро Аннино,13 минут пешком,1,13,https://www.cian.ru/sale/flat/315874826/,"ул. Газопровод, 1К3",55.592612,37.602606,район Чертаново Южное
